p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,cell_type,comparison
0,-11.4658452921779,0,0.844,0,RPS4Y1,Alveolar_Macrophage,unin_hto_vs_unin3
0,-2.85577117456518,0.502,0.992,0,HLA-DRB5,Alveolar_Macrophage,unin_hto_vs_unin3
0,-1.77224117505295,0.86,0.996,0,LGALS3,Alveolar_Macrophage,unin_hto_vs_unin3
0,-1.33387863680027,0.932,0.998,0,S100A11,Alveolar_Macrophage,unin_hto_vs_unin3
0,-1.03642009262517,0.983,1,0,S100A6,Alveolar_Macrophage,unin_hto_vs_unin3
1.07425730552217e-306,-1.20773812462809,0.946,0.997,2.21630024702279e-302,VIM,Alveolar_Macrophage,unin_hto_vs_unin3
1.06596036503789e-294,-1.28694129466532,0.872,0.995,2.19918282910968e-290,HLA-DPB1,Alveolar_Macrophage,unin_hto_vs_unin3
3.32229324118264e-274,-1.63080339671489,0.637,0.98,6.85422318588391e-270,MYL12A,Alveolar_Macrophage,unin_hto_vs_unin3
2.27009277295125e-269,1.72599146183408,0.998,0.989,4.68342839987573e-265,MT-ND2,Alveolar_Macrophage,unin_hto_vs_unin3
2.87891713566232e-269,-1.42162476064726,0.722,0.986,5.93949394258494e-265,ARPC3,Alveolar_Macrophage,unin_hto_vs_unin3
3.19905104864677e-269,-0.945858941090727,0.948,0.997,6.59996221846315e-265,TSPO,Alveolar_Macrophage,unin_hto_vs_unin3
1.03439042727692e-267,-1.31992880853012,0.784,0.991,2.13405089051501e-263,UBB,Alveolar_Macrophage,unin_hto_vs_unin3
7.73904399932479e-262,-1.90109673194381,0.464,0.958,1.5966421675007e-257,NDUFA4,Alveolar_Macrophage,unin_hto_vs_unin3
1.58027658215048e-258,-1.36406129139476,0.837,0.986,3.26026861663465e-254,C1QB,Alveolar_Macrophage,unin_hto_vs_unin3
4.7116128095177e-256,-1.2493908195756,0.847,0.996,9.72052838731597e-252,S100A10,Alveolar_Macrophage,unin_hto_vs_unin3
1.24693565075137e-249,-1.2042702160377,0.852,0.985,2.57255294106515e-245,CD52,Alveolar_Macrophage,unin_hto_vs_unin3
