p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,cell_type,comparison
0.000249149798898096,5.38417770120414,0.833,0.062,1,CCNL2,B_cell,unin_hto_vs_unin3
0.0015547009815608,2.76695023045548,0.833,0.188,1,DNAJB14,B_cell,unin_hto_vs_unin3
0.00219216868444629,-2.46642597854046,0.5,1,1,RPL26,B_cell,unin_hto_vs_unin3
0.00219897964332553,4.80783599381512,0.667,0.062,1,SLC11A1,B_cell,unin_hto_vs_unin3
0.00219897964332553,5.07768575186257,0.667,0.062,1,UPF3A,B_cell,unin_hto_vs_unin3
0.00306083740725858,3.83075890508963,0.667,0.062,1,ALOX5,B_cell,unin_hto_vs_unin3
0.003286410614313,-6.73329319379567,0,0.812,1,HLA-DRB5,B_cell,unin_hto_vs_unin3
0.003286410614313,-4.87908201105634,0,0.812,1,ATP5MG,B_cell,unin_hto_vs_unin3
0.00370344709640975,5.95924205793929,0.5,0,1,MEF2D,B_cell,unin_hto_vs_unin3
0.00370344709640975,6.2894848412429,0.5,0,1,INHBA,B_cell,unin_hto_vs_unin3
0.00370344709640975,5.69909587167573,0.5,0,1,RSBN1L,B_cell,unin_hto_vs_unin3
0.00370344709640975,5.48686315819115,0.5,0,1,RXRA,B_cell,unin_hto_vs_unin3
0.00370344709640975,5.42787002797202,0.5,0,1,FAM111A,B_cell,unin_hto_vs_unin3
0.00370344709640975,5.42787002797202,0.5,0,1,EHBP1L1,B_cell,unin_hto_vs_unin3
0.00370344709640975,5.55266833132601,0.5,0,1,SLC25A28,B_cell,unin_hto_vs_unin3
0.00370344709640975,5.86733520509871,0.5,0,1,CLN6,B_cell,unin_hto_vs_unin3
0.00370344709640975,6.3745924351124,0.5,0,1,XAF1,B_cell,unin_hto_vs_unin3
0.00370344709640975,5.88390650721662,0.5,0,1,ZCCHC2,B_cell,unin_hto_vs_unin3
0.00370344709640975,5.42787002797202,0.5,0,1,MVB12A,B_cell,unin_hto_vs_unin3
