p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,cell_type,comparison
6.12920122978122e-07,7.28595609779106,0.75,0,0.0126451550571616,RETN,Dendritic_cell,unin_hto_vs_unin3
6.51452375926187e-05,6.39413677418982,0.5,0,1,SHISAL2A,Dendritic_cell,unin_hto_vs_unin3
6.51452375926187e-05,6.78016802526749,0.5,0,1,MIA3,Dendritic_cell,unin_hto_vs_unin3
6.51452375926187e-05,7.01093865469574,0.5,0,1,MEMO1,Dendritic_cell,unin_hto_vs_unin3
6.51452375926187e-05,6.16507024736975,0.5,0,1,IFT122,Dendritic_cell,unin_hto_vs_unin3
6.51452375926187e-05,6.41597029786901,0.5,0,1,DLG1,Dendritic_cell,unin_hto_vs_unin3
6.51452375926187e-05,6.39413677418982,0.5,0,1,AGAP3,Dendritic_cell,unin_hto_vs_unin3
6.51452375926187e-05,6.41597029786901,0.5,0,1,IQSEC2,Dendritic_cell,unin_hto_vs_unin3
6.51452375926187e-05,7.01093865469574,0.5,0,1,NIPAL2,Dendritic_cell,unin_hto_vs_unin3
6.51452375926187e-05,6.79690533339791,0.5,0,1,EML3,Dendritic_cell,unin_hto_vs_unin3
6.51452375926187e-05,6.79690533339791,0.5,0,1,TFCP2,Dendritic_cell,unin_hto_vs_unin3
6.51452375926187e-05,6.78016802526749,0.5,0,1,SDSL,Dendritic_cell,unin_hto_vs_unin3
6.51452375926187e-05,6.79690533339791,0.5,0,1,LIG4,Dendritic_cell,unin_hto_vs_unin3
6.51452375926187e-05,6.41597029786901,0.5,0,1,TTC7B,Dendritic_cell,unin_hto_vs_unin3
9.93395552777928e-05,4.32581733087441,0.75,0.062,1,MTREX,Dendritic_cell,unin_hto_vs_unin3
9.93395552777928e-05,4.20754592340295,0.75,0.062,1,PPP1R11,Dendritic_cell,unin_hto_vs_unin3
9.93395552777928e-05,4.61040406383812,0.75,0.062,1,UBE2M,Dendritic_cell,unin_hto_vs_unin3
0.000195475594455142,4.04705210546988,0.75,0.062,1,ZFX,Dendritic_cell,unin_hto_vs_unin3
0.000361721472134604,3.97640307321717,0.75,0.094,1,IL17RA,Dendritic_cell,unin_hto_vs_unin3
0.000398097461014509,2.71213980857711,1,0.281,1,AKNA,Dendritic_cell,unin_hto_vs_unin3
0.00048481398816759,3.84731744529248,0.75,0.094,1,MFNG,Dendritic_cell,unin_hto_vs_unin3
0.000659716297940785,3.4333991787493,1,0.406,1,RPS26,Dendritic_cell,unin_hto_vs_unin3
0.000698976973652849,2.30090111620823,0.75,0.062,1,SAP25,Dendritic_cell,unin_hto_vs_unin3
0.0009896297650143,2.1212648902503,1,0.5,1,CD81,Dendritic_cell,unin_hto_vs_unin3
0.00112831159074071,3.49334215153378,0.75,0.094,1,ECI1,Dendritic_cell,unin_hto_vs_unin3
0.00136361522293012,4.43523114107459,0.5,0.031,1,CLK2,Dendritic_cell,unin_hto_vs_unin3
0.00136361522293012,4.96129067593941,0.5,0.031,1,CCDC22,Dendritic_cell,unin_hto_vs_unin3
0.00136361522293012,4.51592836786296,0.5,0.031,1,R3HCC1,Dendritic_cell,unin_hto_vs_unin3
0.00136361522293012,4.4065979555145,0.5,0.031,1,TRMO,Dendritic_cell,unin_hto_vs_unin3
0.00136361522293012,4.31589723119652,0.5,0.031,1,MS4A4A,Dendritic_cell,unin_hto_vs_unin3
0.00136361522293012,4.74258520045442,0.5,0.031,1,ZMYM2,Dendritic_cell,unin_hto_vs_unin3
0.00136361522293012,3.89086866854368,0.5,0.031,1,IRF9,Dendritic_cell,unin_hto_vs_unin3
0.00136361522293012,4.2073297141548,0.5,0.031,1,VAMP2,Dendritic_cell,unin_hto_vs_unin3
0.00136361522293012,4.12519052068212,0.5,0.031,1,MRPL45,Dendritic_cell,unin_hto_vs_unin3
0.00136361522293012,4.72075167677523,0.5,0.031,1,ATXN7L3,Dendritic_cell,unin_hto_vs_unin3
0.00136361522293012,4.56936189597791,0.5,0.031,1,TBCD,Dendritic_cell,unin_hto_vs_unin3
0.00136361522293012,5.36126192954029,0.5,0.031,1,MYO9B,Dendritic_cell,unin_hto_vs_unin3
0.00192645816823419,2.58690729050155,0.75,0.094,1,DMAC1,Dendritic_cell,unin_hto_vs_unin3
0.00195323602015991,4.34786669602222,0.5,0.031,1,INTS3,Dendritic_cell,unin_hto_vs_unin3
0.00195323602015991,4.40509947885763,0.5,0.031,1,DAGLB,Dendritic_cell,unin_hto_vs_unin3
0.00195323602015991,3.85643791868758,0.5,0.031,1,SUPT4H1,Dendritic_cell,unin_hto_vs_unin3
0.00195323602015991,3.7188171701659,0.5,0.031,1,MAFG,Dendritic_cell,unin_hto_vs_unin3
0.00195323602015991,4.21172082359211,0.5,0.031,1,CHCHD10,Dendritic_cell,unin_hto_vs_unin3
0.00196167768985418,3.10658318363289,0.75,0.125,1,STK17A,Dendritic_cell,unin_hto_vs_unin3
0.00196167768985418,3.03216346783017,0.75,0.125,1,ETNK1,Dendritic_cell,unin_hto_vs_unin3
0.00200394567914253,2.08192397366698,1,0.25,1,SDCCAG8,Dendritic_cell,unin_hto_vs_unin3
0.00234186924042877,3.2060507688544,0.75,0.156,1,HPS1,Dendritic_cell,unin_hto_vs_unin3
0.00276919738119247,2.96832990370576,0.5,0.031,1,SLC30A7,Dendritic_cell,unin_hto_vs_unin3
0.00276919738119247,3.61090030538234,0.5,0.031,1,TRMT1L,Dendritic_cell,unin_hto_vs_unin3
0.00276919738119247,3.41502616850176,0.5,0.031,1,ELF2,Dendritic_cell,unin_hto_vs_unin3
0.00276919738119247,3.10371939226817,0.5,0.031,1,MCPH1,Dendritic_cell,unin_hto_vs_unin3
0.00316458845514718,1.92771896968839,1,0.344,1,ARID1B,Dendritic_cell,unin_hto_vs_unin3
0.00317487118536082,2.10879247134451,1,0.312,1,NCF4,Dendritic_cell,unin_hto_vs_unin3
0.00321626673035186,2.28406788769912,0.75,0.094,1,ATP11A,Dendritic_cell,unin_hto_vs_unin3
0.00367561211774123,2.86557149545126,0.75,0.156,1,OTUB1,Dendritic_cell,unin_hto_vs_unin3
0.00367561211774123,2.91621104349185,0.75,0.156,1,IFI27L2,Dendritic_cell,unin_hto_vs_unin3
0.00445477224674965,0.954619922888837,1,0.969,1,RPL28,Dendritic_cell,unin_hto_vs_unin3
0.00457429735429963,2.64752034766159,0.75,0.156,1,BTF3L4,Dendritic_cell,unin_hto_vs_unin3
