p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,cell_type
0,6.07323347027173,0.921,0.092,0,LYZ,Monocyte
0,7.02091437219404,0.902,0.087,0,S100A9,Monocyte
0,8.01188309750315,0.876,0.094,0,S100A8,Monocyte
0,3.23054267003865,0.866,0.153,0,FCER1G,Monocyte
0,3.32902168125765,0.898,0.189,0,TYROBP,Monocyte
0,5.74541046553204,0.729,0.029,0,FCN1,Monocyte
0,3.64201423868255,0.787,0.097,0,LST1,Monocyte
0,3.76794834994196,0.834,0.152,0,AIF1,Monocyte
0,6.06417758838341,0.686,0.019,0,CD14,Monocyte
0,3.44373551201134,0.827,0.172,0,TYMP,Monocyte
0,5.04417383901774,0.69,0.039,0,CSTA,Monocyte
0,3.3493857294083,0.914,0.276,0,CST3,Monocyte
0,3.98535166586157,0.706,0.068,0,SPI1,Monocyte
0,2.9757650640739,0.726,0.096,0,SERPINA1,Monocyte
0,5.4003418291484,0.645,0.03,0,MNDA,Monocyte
0,4.32862538136939,0.625,0.032,0,MS4A6A,Monocyte
0,3.44198239404218,0.663,0.073,0,CD68,Monocyte
0,4.79139616541451,0.619,0.038,0,VCAN,Monocyte
0,4.83388573109486,0.595,0.026,0,CLEC7A,Monocyte
0,3.84205213907,0.606,0.037,0,CFD,Monocyte
0,3.18023709620161,0.696,0.135,0,GRN,Monocyte
0,3.68367236530172,0.815,0.258,0,CTSS,Monocyte
0,4.48089569423066,0.602,0.048,0,KLF4,Monocyte
0,7.73416593303859,0.564,0.012,0,S100A12,Monocyte
0,-3.29338988904006,0.168,0.716,0,IL32,Monocyte
0,1.77554354971573,0.894,0.347,0,HLA-DRA,Monocyte
0,3.74454050406198,0.601,0.058,0,CYBB,Monocyte
0,4.17200383280311,0.581,0.047,0,FGL2,Monocyte
0,2.84897713037764,0.689,0.166,0,RGS2,Monocyte
0,3.9458773899186,0.571,0.05,0,TNFSF13B,Monocyte
0,3.30165133941571,0.629,0.113,0,LGALS3,Monocyte
0,4.40917307437382,0.548,0.036,0,PLAUR,Monocyte
0,4.94374628543287,0.527,0.018,0,CSF3R,Monocyte
0,4.84779832422831,0.525,0.025,0,NCF2,Monocyte
0,4.35872615476041,0.527,0.028,0,TNFAIP2,Monocyte
0,4.24740093215166,0.521,0.022,0,LILRB2,Monocyte
0,3.15845722747527,0.597,0.1,0,RNF130,Monocyte
0,1.50701896328883,0.844,0.347,0,LGALS1,Monocyte
0,5.1901718369531,0.515,0.019,0,IGSF6,Monocyte
0,3.14164190058554,0.604,0.11,0,NAMPT,Monocyte
0,3.0575863482643,0.672,0.192,0,NCF1,Monocyte
0,4.2620088410502,0.519,0.039,0,CFP,Monocyte
0,2.68128189310273,0.682,0.205,0,PYCARD,Monocyte
0,2.89974089712341,0.633,0.159,0,AP1S2,Monocyte
0,5.48898171355937,0.484,0.014,0,FPR1,Monocyte
0,2.58827208130476,0.581,0.116,0,FGR,Monocyte
0,2.31094835042569,0.623,0.159,0,GLUL,Monocyte
0,-3.33188036612437,0.116,0.579,0,PTPRCAP,Monocyte
0,3.4029902282063,0.507,0.047,0,RAB31,Monocyte
0,1.63696428625651,0.833,0.376,0,HLA-DRB1,Monocyte
0,4.2531642504711,0.474,0.028,0,SLC11A1,Monocyte
0,5.15930962967904,0.457,0.016,0,CLEC12A,Monocyte
0,2.50133850433839,0.746,0.306,0,IFITM3,Monocyte
0,4.02155366140658,0.474,0.034,0,HCK,Monocyte
0,4.24171223074089,0.469,0.032,0,CPVL,Monocyte
0,3.10302682151271,0.587,0.151,0,LINC00936,Monocyte
0,4.58408237892737,0.455,0.024,0,CD302,Monocyte
0,2.10107189505736,0.656,0.227,0,C1orf162,Monocyte
0,3.0955542411537,0.517,0.089,0,ODF3B,Monocyte
0,2.45113231962407,0.861,0.435,0,PSAP,Monocyte
0,4.49718665819239,0.442,0.019,0,PILRA,Monocyte
0,4.31157834716647,0.449,0.026,0,IFI30,Monocyte
0,1.89415414909585,0.663,0.241,0,TIMP1,Monocyte
0,3.18818403860371,0.501,0.079,0,WARS,Monocyte
0,2.56117087992851,0.606,0.185,0,STXBP2,Monocyte
0,1.73901109309177,0.67,0.25,0,CTSB,Monocyte
0,2.20584662087104,0.913,0.494,0,NEAT1,Monocyte
0,3.73651428733822,0.451,0.033,0,MAFB,Monocyte
0,-3.32297630613422,0.112,0.528,0,CD3E,Monocyte
0,5.01250189416888,0.429,0.013,0,FCGR1A,Monocyte
0,4.10567200040445,0.435,0.021,0,CD36,Monocyte
0,1.60970832820087,0.784,0.371,0,GPX1,Monocyte
0,3.57235525796738,0.445,0.032,0,MS4A7,Monocyte
0,2.86675109988724,0.489,0.076,0,CEBPD,Monocyte
0,2.02650000257638,0.572,0.159,0,FCGRT,Monocyte
0,2.22243385946957,0.643,0.231,0,C10orf54,Monocyte
0,3.94648491002648,0.438,0.028,0,MPEG1,Monocyte
0,1.81417011427142,0.602,0.193,0,HLA-DMA,Monocyte
0,2.22943283418201,0.596,0.189,0,GNAI2,Monocyte
0,1.85524572928199,0.568,0.166,0,ZEB2,Monocyte
0,1.73289485339894,0.643,0.243,0,C4orf48,Monocyte
0,1.76247291204686,0.629,0.231,0,ASAH1,Monocyte
0,2.74326814578165,0.503,0.106,0,FAM26F,Monocyte
0,1.95821164151903,0.558,0.161,0,APLP2,Monocyte
0,2.90648277763096,0.481,0.085,0,PTPRE,Monocyte
0,2.39526816149493,0.667,0.276,0,TKT,Monocyte
0,2.16692928921641,0.867,0.477,0,S100A11,Monocyte
0,2.41378125377048,0.513,0.125,0,IFNGR2,Monocyte
0,2.72705974696863,0.466,0.081,0,THEMIS2,Monocyte
0,1.82688008036722,0.79,0.405,0,NPC2,Monocyte
0,2.45323304110418,0.494,0.11,0,LGALS9,Monocyte
0,2.00921486088359,0.519,0.135,0,BLVRB,Monocyte
0,-3.41519272184903,0.085,0.468,0,CD3D,Monocyte
0,2.11953154805622,0.517,0.135,0,CAPG,Monocyte
0,2.07796395269468,0.503,0.121,0,LYN,Monocyte
0,2.72676655010774,0.486,0.107,0,PGD,Monocyte
0,1.64180755261553,0.654,0.276,0,SOD2,Monocyte
0,1.84036487067887,0.634,0.257,0,ANXA5,Monocyte
0,2.45104830062182,0.478,0.101,0,CDKN1A,Monocyte
0,2.751022590237,0.478,0.103,0,BCL2A1,Monocyte
0,2.34364604840797,0.93,0.556,0,SAT1,Monocyte
0,1.32736212001999,0.631,0.257,0,ANXA2,Monocyte
0,4.60178256936468,0.394,0.02,0,C19orf38,Monocyte
0,2.03723579034556,0.647,0.275,0,CARD16,Monocyte
0,2.91050722161392,0.422,0.054,0,LY86,Monocyte
0,1.66765205332973,0.863,0.501,0,SRGN,Monocyte
0,2.70529687131671,0.439,0.079,0,JAML,Monocyte
0,2.62088206068902,0.452,0.093,0,CECR1,Monocyte
0,2.19078583698641,0.752,0.393,0,TSPO,Monocyte
0,2.15433158377958,0.482,0.126,0,TNFRSF1B,Monocyte
0,1.42400975874545,0.753,0.399,0,HLA-DPA1,Monocyte
0,1.54366110633258,0.523,0.173,0,MYO1F,Monocyte
0,2.17468882114657,0.496,0.147,0,LAP3,Monocyte
0,1.98440081711197,0.513,0.166,0,CASP1,Monocyte
0,1.77438390230966,0.55,0.204,0,TCIRG1,Monocyte
0,1.96439450127179,0.637,0.291,0,TALDO1,Monocyte
0,-2.66586624978805,0.184,0.529,0,CD69,Monocyte
0,2.12291421415422,0.494,0.149,0,AGTRAP,Monocyte
0,2.88554539276053,0.413,0.069,0,GCA,Monocyte
0,4.05431991236996,0.367,0.023,0,DMXL2,Monocyte
0,4.69558137271862,0.359,0.015,0,LILRB3,Monocyte
0,1.72857981506707,0.525,0.182,0,VMP1,Monocyte
0,1.41710391121192,0.668,0.325,0,AP2S1,Monocyte
0,2.57432841937726,0.42,0.077,0,CTSZ,Monocyte
0,4.64672649617205,0.365,0.023,0,PLBD1,Monocyte
0,2.04748598593157,0.444,0.104,0,HLA-DMB,Monocyte
0,1.68608734573344,0.626,0.286,0,RHOG,Monocyte
0,-3.21910199187216,0.067,0.407,0,LCK,Monocyte
0,-3.16647975585237,0.067,0.407,0,OCIAD2,Monocyte
0,1.07018232648308,0.506,0.167,0,HLA-DQB1,Monocyte
0,5.0538843346203,0.351,0.012,0,LILRA5,Monocyte
0,2.67904064570959,0.41,0.072,0,NUP214,Monocyte
0,3.31719921157059,0.381,0.044,0,CPPED1,Monocyte
0,3.38659281739529,0.364,0.027,0,FCGR2A,Monocyte
0,5.13828090250631,0.349,0.012,0,CD300E,Monocyte
0,1.60036721024243,0.614,0.277,0,SAMHD1,Monocyte
0,2.40911598473372,0.448,0.112,0,KLF10,Monocyte
0,6.35904760369844,0.343,0.007,0,RP11-1143G9.4,Monocyte
0,3.87372556479334,0.36,0.024,0,ZNF385A,Monocyte
0,2.06925178078427,0.818,0.482,0,COTL1,Monocyte
0,4.09973578282669,0.355,0.019,0,LRRC25,Monocyte
0,1.57515573054683,0.471,0.137,0,BRI3,Monocyte
0,1.50666789906357,0.673,0.34,0,ATP6V0B,Monocyte
0,2.97819401710337,0.395,0.062,0,SCO2,Monocyte
0,1.89044154998616,0.536,0.206,0,NFKBIZ,Monocyte
0,1.40253979293661,0.699,0.369,0,CTSD,Monocyte
0,4.18989333380775,0.346,0.017,0,C5AR1,Monocyte
0,-2.03722800050696,0.23,0.558,0,EVL,Monocyte
0,1.44279919800477,0.775,0.447,0,RAC1,Monocyte
0,1.55238996116839,0.596,0.268,0,ARRB2,Monocyte
0,1.79578091486308,0.505,0.178,0,GRINA,Monocyte
0,3.56226426476194,0.359,0.032,0,PLXDC2,Monocyte
0,3.94648077203096,0.35,0.023,0,LRP1,Monocyte
0,3.48545406727871,0.357,0.03,0,KCTD12,Monocyte
0,2.12802958933925,0.442,0.117,0,SNX10,Monocyte
0,1.35245495203556,0.421,0.096,0,SLC7A7,Monocyte
0,1.66047923525207,0.515,0.191,0,H2AFY,Monocyte
0,3.15319036789248,0.367,0.043,0,STX11,Monocyte
0,5.55583340769909,0.332,0.008,0,ASGR1,Monocyte
0,-2.3097189623956,0.209,0.532,0,IL2RG,Monocyte
0,2.36143677839406,0.454,0.131,0,TNFSF10,Monocyte
0,2.57768195294872,0.41,0.087,0,BLVRA,Monocyte
0,1.4396723104832,0.559,0.237,0,SDCBP,Monocyte
0,2.4107560300573,0.394,0.072,0,ATF3,Monocyte
0,3.19931091614669,0.374,0.052,0,DUSP6,Monocyte
0,1.90078904761023,0.569,0.247,0,VAMP5,Monocyte
0,1.13997843724063,0.53,0.21,0,HSBP1,Monocyte
0,2.15427953245961,0.679,0.359,0,FOSB,Monocyte
0,2.32119512894569,0.398,0.078,0,LY96,Monocyte
0,2.08160830508138,0.469,0.149,0,CRTAP,Monocyte
0,1.39852042624971,0.432,0.114,0,MEF2C,Monocyte
0,4.53859784569284,0.332,0.014,0,PRAM1,Monocyte
0,1.54189282837269,0.622,0.304,0,JUND,Monocyte
0,-2.4619545659419,0.083,0.399,0,SEPT1,Monocyte
0,2.95791923691186,0.359,0.044,0,TGFBI,Monocyte
0,-2.69224746573459,0.201,0.516,0,LTB,Monocyte
0,1.85330722822447,0.522,0.208,0,TRAPPC5,Monocyte
0,1.17801856166898,0.758,0.444,0,HLA-DPB1,Monocyte
0,1.61071886353603,0.592,0.278,0,SERPINB1,Monocyte
0,1.98617850255305,0.424,0.111,0,CEBPB,Monocyte
0,1.3468832894344,0.53,0.218,0,GSTO1,Monocyte
0,4.40833738520427,0.328,0.017,0,CLEC4A,Monocyte
0,3.32688194470029,0.334,0.023,0,LINC01272,Monocyte
0,3.69821441109607,0.336,0.027,0,CD86,Monocyte
0,2.03646810013855,0.43,0.121,0,PLSCR1,Monocyte
0,1.1609029005697,0.443,0.135,0,LGALS2,Monocyte
0,1.2735958230916,0.772,0.464,0,ITGB2,Monocyte
0,3.45356221014402,0.339,0.033,0,NAIP,Monocyte
0,1.51438942589546,0.569,0.264,0,CNPY3,Monocyte
0,1.40480102124425,0.597,0.293,0,GRB2,Monocyte
0,2.07438020009308,0.411,0.108,0,UBXN11,Monocyte
0,-3.02951637878457,0.111,0.413,0,CD7,Monocyte
0,3.43788006533288,0.325,0.024,0,CSF1R,Monocyte
0,2.68624203649431,0.377,0.076,0,IER3,Monocyte
0,3.86548875588104,0.323,0.022,0,SLC31A2,Monocyte
0,1.6600931594024,0.447,0.151,0,FMNL1,Monocyte
0,3.90713685460222,0.317,0.021,0,IL1B,Monocyte
0,4.67122591059255,0.311,0.015,0,RETN,Monocyte
0,2.25833286521745,0.386,0.091,0,NAGK,Monocyte
