gene,mean_score,max_score,n_links,is_deg,is_metabolic,is_trained,category
FAM87B,-0.219091935483871,0.647,62,FALSE,FALSE,FALSE,Background
AL645608.7_distal,0.2944,0.377,4,FALSE,FALSE,FALSE,Background
HES4,-0.0827775862068966,0.6411,58,FALSE,FALSE,FALSE,Background
ISG15,-0.14525,0.2739,18,TRUE,FALSE,FALSE,Other DEG
AC114498.1_distal,0.247754545454545,0.4137,22,FALSE,FALSE,FALSE,Background
FAM41C_distal;LINC01128_distal,0.358866666666667,0.6126,18,FALSE,FALSE,FALSE,Background
AGRN_distal,0.2483,0.6592,30,FALSE,FALSE,FALSE,Background
LINC01342,0.246502941176471,0.703,68,FALSE,FALSE,FALSE,Background
TTLL10;TTLL10-AS1_distal,0.179721052631579,0.5675,38,FALSE,FALSE,FALSE,Background
TNFRSF18_distal,0.167621008403361,0.7183,119,FALSE,FALSE,FALSE,Background
TNFRSF18,0.189581818181818,0.6516,55,FALSE,FALSE,FALSE,Background
TNFRSF4_distal,0.149485714285714,0.5447,35,FALSE,FALSE,FALSE,Background
TNFRSF4_distal;SDF4_distal,0.123057692307692,0.5017,26,FALSE,FALSE,FALSE,Background
SDF4_distal,0.30924,0.5165,5,FALSE,FALSE,FALSE,Background
RNF223_distal,0.209953225806452,0.6602,62,FALSE,FALSE,FALSE,Background
LINC01128_distal,0.192562222222222,0.4172,45,FALSE,FALSE,FALSE,Background
AGRN_distal;AL645608.5_distal,0.17019756097561,0.5582,41,FALSE,FALSE,FALSE,Background
AL390719.3_distal;C1orf159_distal,0.188788636363636,0.5857,44,FALSE,FALSE,FALSE,Background
AL162741.1,0.100491111111111,0.5351,45,FALSE,FALSE,FALSE,Background
MXRA8,0.142763888888889,0.4249,36,FALSE,FALSE,FALSE,Background
LINC01342_distal,0.178425,0.6235,48,FALSE,FALSE,FALSE,Background
AL139287.1_distal;INTS11_distal,0.132554761904762,0.4668,42,FALSE,FALSE,FALSE,Background
AURKAIP1_distal,0.102170833333333,0.5381,48,FALSE,FALSE,FALSE,Background
SCNN1D,0.1523,0.1523,1,FALSE,FALSE,FALSE,Background
TNFRSF4,0.110269696969697,0.6151,33,FALSE,FALSE,FALSE,Background
AL691432.4_distal,-0.0377428571428572,0.2493,7,FALSE,FALSE,FALSE,Background
MIB2_distal;MMP23B_distal,0.117531578947368,0.6579,57,FALSE,FALSE,FALSE,Background
AL645608.5_distal;AGRN_distal,-0.123785714285714,0.3034,28,FALSE,FALSE,FALSE,Background
TTLL10_distal,0.0345854545454545,0.4983,55,FALSE,FALSE,FALSE,Background
ACAP3;PUSL1,0.111636666666667,0.4147,30,FALSE,FALSE,FALSE,Background
AURKAIP1,-0.014565,0.3186,20,TRUE,FALSE,FALSE,Other DEG
MRPL20,0.0446790697674419,0.4548,43,TRUE,FALSE,FALSE,Other DEG
TMEM240,0.0755941176470588,0.4521,34,FALSE,FALSE,FALSE,Background
SLC35E2B_distal,0.00800927835051546,0.5391,97,FALSE,FALSE,FALSE,Background
SDF4_distal;TNFRSF4_distal,0.122333333333333,0.4576,9,FALSE,FALSE,FALSE,Background
ISG15_distal;AL645608.1_distal,-0.100025,0.3558,16,FALSE,FALSE,FALSE,Background
INTS11;CPTP,0.0905875,0.4412,32,FALSE,FALSE,FALSE,Background
DVL1,0.0803736842105263,0.4155,19,FALSE,FALSE,FALSE,Background
CDK11A_distal;SLC35E2A_distal,0.0758571428571429,0.3764,14,FALSE,FALSE,FALSE,Background
FAM41C,0.196125,0.3342,12,FALSE,FALSE,FALSE,Background
SAMD11_distal,0.157542307692308,0.3862,26,FALSE,FALSE,FALSE,Background
NOC2L,0.142318181818182,0.3563,11,FALSE,FALSE,FALSE,Background
KLHL17,0.0858666666666667,0.3286,6,FALSE,FALSE,FALSE,Background
PLEKHN1,-0.2811,-0.2811,1,FALSE,FALSE,FALSE,Background
AL645608.8_distal,0.106946666666667,0.3517,15,FALSE,FALSE,FALSE,Background
C1orf159,0.121683333333333,0.3723,18,FALSE,FALSE,FALSE,Background
C1orf159_distal,0.168941176470588,0.4016,17,FALSE,FALSE,FALSE,Background
UBE2J2,-0.035,0.4095,17,TRUE,FALSE,FALSE,Other DEG
TMEM88B_distal,0.0980916666666666,0.3912,12,FALSE,FALSE,FALSE,Background
VWA1,0.0634666666666667,0.2828,9,FALSE,FALSE,FALSE,Background
ATAD3B_distal;ATAD3C_distal,0.01305,0.2867,6,FALSE,FALSE,FALSE,Background
ATAD3B,0.0357,0.3448,7,FALSE,FALSE,FALSE,Background
AL645728.1_distal;SSU72,0.0548708333333333,0.4151,24,FALSE,FALSE,FALSE,Background
AL691432.2;MIB2,0.0655846153846154,0.4276,26,FALSE,FALSE,FALSE,Background
NADK_distal,-0.06218125,0.5897,48,FALSE,FALSE,FALSE,Background
NADK,-0.0928193181818182,0.6744,88,FALSE,FALSE,FALSE,Background
GNB1_distal,-0.105886486486486,0.3981,74,FALSE,FALSE,FALSE,Background
GNB1;AL109917.1,0.109190476190476,0.4319,21,FALSE,FALSE,FALSE,Background
CFAP74_distal,-0.164811111111111,0.4663,27,FALSE,FALSE,FALSE,Background
GABRD,0.0488428571428571,0.3478,7,FALSE,FALSE,FALSE,Background
AL391845.1_distal,0.20661724137931,0.5373,29,FALSE,FALSE,FALSE,Background
AL391845.1,0.212416666666667,0.6544,42,FALSE,FALSE,FALSE,Background
NADK_distal;GNB1_distal,0.137544444444444,0.5733,9,FALSE,FALSE,FALSE,Background
AL590822.2_distal;PRKCZ_distal,-0.13516875,0.573,64,FALSE,FALSE,FALSE,Background
PRKCZ_distal;AL590822.2_distal,-0.0519206896551724,0.5857,58,FALSE,FALSE,FALSE,Background
FAAP20,0.198921875,0.4165,32,TRUE,FALSE,FALSE,Other DEG
SKI_distal,0.099123417721519,0.5639,158,FALSE,FALSE,FALSE,Background
AL590822.3,0.217538095238095,0.5009,21,FALSE,FALSE,FALSE,Background
AL590822.3_distal;SKI_distal,0.216081818181818,0.5629,22,FALSE,FALSE,FALSE,Background
PLCH2_distal,0.19385,0.2356,2,FALSE,FALSE,FALSE,Background
CDK11B_distal;MMP23B_distal,0.11,0.11,1,FALSE,FALSE,FALSE,Background
AL139246.3_distal,0.4022125,0.5253,8,FALSE,FALSE,FALSE,Background
MMEL1_distal,0.308366666666667,0.3573,6,FALSE,FALSE,FALSE,Background
MMEL1_distal;TTC34_distal,0.190627272727273,0.4829,11,FALSE,FALSE,FALSE,Background
AL592464.1_distal,0.198507692307692,0.6349,26,FALSE,FALSE,FALSE,Background
AL589702.1_distal,0.172754545454546,0.5893,22,FALSE,FALSE,FALSE,Background
ACTRT2_distal,0.12408,0.5182,15,FALSE,FALSE,FALSE,Background
AL354743.2_distal;PRDM16_distal;AL590438.1_distal,-0.04163,0.2912,10,FALSE,FALSE,FALSE,Background
ARHGEF16,0.17254,0.3504,5,FALSE,FALSE,FALSE,Background
MEGF6_distal;AL512413.1_distal,0.198833333333333,0.3657,6,FALSE,FALSE,FALSE,Background
MEGF6,0.10356,0.5767,35,FALSE,FALSE,FALSE,Background
MEGF6_distal,0.1322,0.1322,1,FALSE,FALSE,FALSE,Background
TP73_distal;AL136528.1,-0.0705857142857143,0.5096,14,FALSE,FALSE,FALSE,Background
AL354743.1_distal;PRDM16_distal,0.23272,0.5364,5,FALSE,FALSE,FALSE,Background
C1orf174_distal;DFFB_distal,0.2945,0.326,3,FALSE,FALSE,FALSE,Background
AL805961.1_distal,0.40166,0.4926,5,FALSE,FALSE,FALSE,Background
AL139823.1_distal,0.247663157894737,0.4973,19,FALSE,FALSE,FALSE,Background
AL365255.1_distal,0.16744,0.3352,15,FALSE,FALSE,FALSE,Background
